English,Spanish,Portuguese,French,Mandarin (Simplified),Polish,German
“Working on a development project at Excellence Tech made me feel complete. It was a brilliant experience.”,"""Trabajar en un proyecto de desarrollo en Excellence Tech me hizo sentir completo. Fue una experiencia brillante.""","""Trabalhar num projecto de desenvolvimento da Excellence Tech fez-me sentir completo. Foi uma experiência brilhante.""",« Travailler dans un projet de développement chez Excellence Tech m’a fait sentir réalisé. C’était une très bonne expérience. »,我从自己在印度卓越科技有限公司的程序开发项目中受益良多。这是一段精彩绝伦的经历。,"""Praca nad rozwojem projektu w Exellence Tech dała mi uczucie spełnienia. To było wspaniałe doświadczenie.""",Durch die Arbeit an einer Entwicklungsprojekt in Excellence Tech fühle ich mich komplett. Es war eine großartige Erfahrung.
“You don’t know what you're made of until you trust yourself enough to reach outside your comfort zone.”,"""No sabes de qué estás hecho hasta que confías en ti mismo lo suficiente como para salir de tu zona de confort.""","""Tu não sabes do que és feito até confiares em ti mesmo o suficiente para saires da tua zona de conforto.""",« Tu ne sais pas de quoi t’es fait jusqu’à ce que tu sors de ta zone confort. »,当你足够自信跨出你的舒适圈时，你会发现自己的能力不止如此。,"""Nigdy nie znasz do końca swoich możliwości, dopóki nie zaufasz sobie wystarczająco, by wyjść ze swojej strefy komfortu.""","Du weißt nicht, wie viel du schaffen kannst, bis du dir traust, deine Wohlfühlzone zu verlassen."
(Visual) FoxPro,(Visual) FoxPro,(Visual) FoxPro,(Visual) FoxPro,(Visual) FoxPro,(Visual) FoxPro,(Visual) FoxPro
1-50,1-50,1-51,1-50,1-50,1-50,1-50
"1,001-5,000","1,001-5,000","1,001-5,001","1,001-5,000","1,001-5,000","1,001-5,000","1,001-5,000"
"10,000+","10,000+","10,000+","10,000+","10,000+","10,000+","10,000+"
1st day of work,Primer día de trabajo,Primeiro dia de trabalho,Premier jour de travail,到岗首日,Pierwszy dzień pracy,Erster Tag der Arbeit
201-500,201-500,201-501,201-500,201-500,201-500,201-500
3D Max,3D Max,3D Max,3D Max,3D Max,3D Max,3D Max
"5,001-10,000","5,001-10,000","5,001-10,001","5,001-10,000","5,001-10,000","5,001-10,000","5,001-10,000"
"501-1,000","501-1,000","501-1,001","501-1,000",501-1000,"501-1,000","501-1,000"
51-200,51-200,51-201,51-200,51-200,51-200,51-200
6 - 12 weeks,6 - 12 semanas,6 - 12 semanas,6 - 12 semaines,6 - 12周,6 - 12 tygodni,6 - 12 Wochen
6 - 78 weeks,6 - 78 semanas,6 - 78 semanas,6 - 78 semaines,6 - 78周,6 - 78 tygodni,6 - 78 Wochen
A cross-cultural volunteer experience for young people seeking to develop themselves and the world.,Una experiencia de voluntariado multicultural para jóvenes que buscan desarrollarse a si mismos y al mundo.,Uma experiência de voluntariado multicultural para jovens que procuram desenvolver-se a eles próprios e ao mundo.,Une expérience de bénévolat interculturelle pour les jeunes qui cherchent à se développer eux-mêmes et le monde.,专属寻求自我成长和世界发展的青年人的跨文化志愿者体验,Międzykulturowe doświadczenie wolontariackie dla młodych ludzi chcących rozwinąć siebie i świat.,"Eine interkulturelle ehrenamtliche Erfahrung für junge Menschen, die sich und die Welt weiterentwickeln wollen."
A global internship experience at a startup for young people seeking to develop themselves and their career.,Una práctica profesional en una startup para gente joven que busca desarrollarse a sí misma y a su carrera.,Uma experiência de estágio global numa startup para jovens que procuram desenvolver-se a eles próprios e à sua carreira.,Une expérience de stage internationale dans une start-up pour les jeunes qui cherchent à se développer personnellement et professionnellement.,专属寻求自我成长和职业发展的青年人的全球创业公司实习经历,Globalne doświadczenie stażowe w startupie dla młodych ludzi chcących rozwinąć siebie i swoją karierę.,"Eine globale Praktikumserfahrung in einem Start-Up für junge Menschen, die sich und ihre Karriere weiterentwickeln wollen."
A global internship experience for young people seeking to develop themselves and their career.,Una práctica profesional global para gente joven que busca desarrollarse a si misma y a su carrera.,Uma experiência de estágio global para jovens que procuram desenvolver-se a eles próprios e à sua carreira.,Une expérience de stage internationale pour les jeunes qui cherchent à se développer personnellement et professionnellement.,专属寻求自我成长和职业发展的青年人的全球实习经历,Globalne doświadczenie stażowe dla młodych ludzi chcących rozwinąć siebie i swoją karierę.,"Eine globale Praktikumserfahrung für junge Menschen, die sich und ihre Karriere weiterentwickeln wollen."
ABAP,ABAP,ABAP,ABAP,ABAP,ABAP,ABAP
Ability/skillset,Habilidad/ nivel de habilidades,Habilidades,Compétences,能力/技能组,Umiejętność/zestaw umiejętności,Fähigkeiten
About this opportunity,Acerca de esta oportunidad,Sobre esta oportunidade,A propos de l'opportunité,关于该机会,Informacje o ofercie,Über dieses Projekt
Academic experience,Experiencia académica,Experiência acadêmica,Expérience académique,学术经历,Doświadczenie akademickie,Akademische Erfahrung
Acceptance of uncertainty,Aceptación de la incertidumbre,Aceitação de incerteza,Acceptation de l'incertitude,接受不确定性, Akceptacja niepewności,Akzeptanz von Unbestimmtheit
Accepted,Aceptado,Aceite,Accepté,已接受,Zaakceptowany,Akzeptiert
Accepting that everybody has strengths and weaknesses is something I/’ve learned in AIESEC.,Aceptar que todos tienen fortalezas y debilidades es algo que e aprendido en AIESEC.,Aceitar que todos têm pontos fortes e fracos é algo que eu aprendi na AIESEC.,Accepter que tout le monde a des forces et des faiblesses est quelque chose que j'ai appris dans AIESEC.,因为AIESEC，我慢慢接受了每个人都有各自的优缺点这一事实。,"Akceptowanie, że każdy ma słabe i mocne strony jest czymś czego nauczyłem się w AIESEC.","Akzeptiere, dass alle Stärke und Schwäche haben, ist was ich in AIESEC gelernt habe."
Accommodation,Alojamiento,Acomodação,Logement,住宿,Zakwaterowanie,Unterkunft
Accommodation provided,Alojamiento proporcionado,Alojamento fornecido,Logement fourni,提供住宿,Zakwatereowanie zapewnione,Unterkunft bereitgestellt
Accounting,Contabilidad,Contabilidade,Comptabilité,会计学,Rachunkowość,Kostenrechnung
Achieve gender equality and empower all women and girls,Lograr la igualdad de género y empoderar a todas las mujeres y niñas,Alcançar a igualdade de gênero e empoderar todas as mulheres e meninas,Parvenir à l'égalité des sexes et autonomiser toutes les femmes et les filles,实现性别平等，增强所有妇女和女孩的权利,Osiągnij równość płci i wzmocnij pozycję wszystkich kobiet i dziewcząt,Geschlechtergleichstellung erreichen und alle Frauen und Mädchen stärken.
"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors","Lograr mayores niveles de productividad económica a través de la diversificación, el mejoramiento tecnológico y la innovación, incluso mediante un enfoque en los sectores de alto valor añadido y mano de obra intensiva.","Alcançar níveis mais elevados de produtividade económica através da diversificação, da modernização tecnológica e da inovação, nomeadamente através da concentração nos sectores de elevado valor acrescentado e de mão-de-obra intensiva","Atteindre des niveaux plus élevés de productivité économique grâce à la diversification, à l'amélioration technologique et à l'innovation, notamment en mettant l'accent sur les secteurs à forte valeur ajoutée et à forte intensité de main-d'œuvre",通过多样化、技术升级和创新来实现更高水平的经济生产力，这包括专注于高附加值和劳动密集型的行业,"Osiągnąć wyższy poziom wydajności gospodarczej poprzez dywersyfikację, modernizację technologiczną i innowacje, a także poprzez skupienie się na sektorach o wysokiej wartości dodanej oraz o wysokim wskaźniku pracochłonności.","Eine hohe ökonomische Produktivität erreichen durch Erweiterung, technologische Erneuerung und Innovation sowie durch einen Fokus auf arbeitsaufwändige Branchen mit hohem Mehrwert."
"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","Lograr la cobertura universal de salud, incluida la protección de los riesgos financieros, el acceso a servicios esenciales de atención de salud de calidad y el acceso a medicamentos esenciales y vacunas seguros, eficaces, de calidad y asequibles para todos.","Alcançar a cobertura universal de saúde, incluindo a proteção dos riscos financeiros, o acesso a serviços essenciais de cuidados de saúde de qualidade eo acesso a medicamentos essenciais e vacinas seguros, eficazes, de qualidade e acessíveis para todos","Assurer la couverture universelle de la santé, y compris la protection contre les risques financiers, l'accès à des services de santé essentiels de qualité et l'accès à des médicaments essentiels et des vaccins sûrs, efficaces, de qualité et abordables pour tous",实现全民健康覆盖，包括财务风险保护，优质基本保健服务渠道，安全、有效、优质和可负担的基本药物和所有疫苗的获得渠道,"Zapewnić powszechną opiekę zdrowotną, w tym zabezpieczenie przed ryzykiem finansowym, dostęp do podstawowej opieki zdrowotnej wysokiej jakości oraz bezpiecznych, skutecznych, wysokiej jakości, przystępnych cenowo lekarstw
i szczepionek.","Globale Krankenversicherungsschutz erreichen, darunter auch finanzielle Risikoabsicherung, Zugang zu wesentlichen Gesundheitsdiensten und  zu sicheren, effektiven, guten und leistbaren Grundarzneimitteln sowie Impfstoffe für alle."
Active,Activas,Ativo,Actif,活跃用户,Aktywuj,Aktiv
Ada,Ada,Ada,Ada,Ada,Ada,Ada
Adaptability,Adaptabilidad,Adaptabilidade,Adaptabilité,适应能力,Zdolność adaptacji,Anpassbarkeit
Adapts and shows resilience in the face of challenges,Se adapta y muestra resilencia al encarar retos,Adapta-se e mostra resiliência quando encara desafios,S'adapte et se montre résistant face aux défis,面对挑战时的抗压能力,Adaptuje się i pokazuje odporność w świetle wyzwań,Passt an und zeigt Belastbarkeit angesichts der Herausforderungen
add,añadir,adicionar,Ajouter,添加,dodaj,hinzufügen
Add academic experience,Agregar experiencia académica,Adicionar experiência acadêmica,Ajouter une expérience académique,添加学习经历,Dodaj doświadczenie akademickie,Akademische Erfahrung hinzufügen
Add experience,Añadir experiencia,Adicionar experiência,Ajouter une expérience,添加经历,Dodaj doświadczenie,Erfahrung hinzufügen
Add language,Agregar idioma,Adicionar língua,Ajouter une langue,添加语言背景,Dodaj język,Sprache hinzufügen
Add professional experience,Agregar experiencia profesional,Adicionar experiência profissional,Ajouter une expérience professionnelle,添加专业经历,Dodaj profesjonalne doświadczenie,Professionelle Erfahrung hinzufügen
Add skill,Añadir habilidad,Adicionar habilidade,Ajouter une compétence,添加技能,Dodaj umiejętności,Fähigkeit hinzufügen
Adobe After Effects,Adobe After Effects,Adobe After Effects,Adobe After Effects,Adobe After Effects,Adobe After Effects,Adobe After Effects
Adobe Audition,Adobe Audition,Adobe Audition,Adobe Audition,Adobe Audition,Adobe Audition,Adobe Audition
Adobe Bridge,Adobe Bridge,Adobe Bridge,Adobe Bridge,Adobe Bridge,Adobe Bridge,Adobe Bridge
Adobe Dreamweaver,Adobe Dreamweaver,Adobe Dreamweaver,Adobe Dreamweaver,Adobe Dreamweaver,Adobe Dreamweaver,Adobe Dreamweaver
Adobe Flash,Adobe Flash,Adobe Flash,Adobe Flash,Adobe Flash,Adobe Flash,Adobe Flash
Adobe Illustrator,Adobe Illustrator,Adobe Illustrator,Adobe Illustrator,Adobe Illustrator,Adobe Illustrator,Adobe Illustrator
Adobe InDesign,Adobe InDesign,Adobe InDesign,Adobe InDesign,Adobe InDesign,Adobe InDesign,Adobe InDesign
Adobe Lightroom,Adobe Lightroom,Adobe Lightroom,Adobe Lightroom,Adobe Lightroom,Adobe Lightroom,Adobe Lightroom
Adobe Premiere Pro,Adobe Premiere Pro,Adobe Premiere Pro,Adobe Premiere Pro,Adobe Premiere Pro,Adobe Premiere Pro,Adobe Premiere Pro
Adopt and implement investment promotion regimes for least developed countries,Adoptar y aplicar regímenes de promoción de inversiones para los países menos adelantados.,Adoptar e implementar regimes de promoção de investimentos para os países menos desenvolvidos,Adopter et mettre en œuvre des régimes de promotion des investissements pour les pays les moins avancés,为最不发达国家采用和实施投资促进机制,Przyjąć i wdrożyć systemy promocji inwestycji dla krajów najsłabiej rozwiniętych.,Investitionsregelungen für am wenigsten entwickelten Ländern annehmen und umsetzen.
Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels,Adoptar y fortalecer políticas sólidas y legislación aplicable para promover la igualdad de género y el empoderamiento de todas las mujeres y niñas a todos los niveles.,Adotar e fortalecer políticas sólidas e legislação aplicável para a promoção da igualdade de gênero ea capacitação de todas as mulheres e meninas em todos os níveis,Adopter et renforcer des politiques saines et une législation exécutoire pour la promotion de l'égalité des sexes et l'autonomisation de toutes les femmes et des filles à tous les niveaux,采纳及加强健全政策及实施性立法，促进男女平等，并赋予各级妇女及女童权利,Przyjąć oraz wzmocnić polityki i skuteczne ustawodawstwo promujące równość płci oraz wzmacniające pozycję kobiet i dziewcząt na wszystkich szczeblach.,Vernünftige Politik und vollziehbare Rechtsvorschriften annehmen und verstärken für die Förderung der Geschlechtergleichstellung und Ermächtigung aller Frauen und Mädchen auf allen Ebenen.
"Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility","Adoptar medidas para garantizar el buen funcionamiento de los mercados de productos alimenticios y sus derivados y facilitar el acceso oportuno a la información sobre el mercado, incluidas las reservas alimentarias, para ayudar a limitar la extrema volatilidad de los precios de los alimentos.","Adotar medidas para assegurar o bom funcionamento dos mercados de produtos alimentares e seus derivados e facilitar o acesso atempado às informações sobre o mercado, incluindo as reservas alimentares, a fim de ajudar a limitar a extrema volatilidade dos preços dos alimentos","Adopter des mesures pour assurer le bon fonctionnement des marchés des denrées alimentaires et de leurs dérivés et faciliter un accès rapide à l'information sur les marchés, y compris sur les réserves alimentaires, afin de limiter l'extrême volatilité des prix alimentaires",采取措施，确保粮食商品市场及其衍生品的正常运作，并促进包括粮食储备在内的市场信息即时获取渠道的畅通，这有助于限制极端粮食价格波动,"Wprowadzić mechanizmy zapewniające prawidłowe funkcjonowanie rynków towarów żywnościowych i ich pochodnych oraz ułatwić dostęp do aktualnych informacji rynkowych, w tym do informacji o rezerwach żywnościowych, by ograniczyć ekstremalną niestabilność cen żywności.","Maßnahmen annehmen, die Funktionsfähigkeit der Agrarmärkte und ihrer Derivative zu garantieren sowie einen rechtzeitigen Zugang auf Marktinformation, einschließlich Nahrungsmittelreserven, zu ermöglichen, um die extreme Volatilität der Lebensmittelpreise zu beschränken."
"Adopt policies, especially fiscal, wage and social protection policies, and progressively achieve greater equality","Adoptar políticas, especialmente políticas fiscales, salariales y de protección social, y lograr progresivamente una mayor igualdad.","Adoptar políticas, especialmente políticas fiscais, salariais e de protecção social, e conseguir progressivamente uma maior igualdade","Adopter des politiques, notamment fiscales, salariales et de protection sociale, et progressivement parvenir à une plus grande égalité",实施相关政策，特别是财政、薪酬和社会保障等政策，逐步在更大范围内实现平等,"Przyjąć polityki, w szczególności fiskalną, ochrony socjalnej i wynagrodzeń oraz stopniowo osiągać większą równość.","Politik annehmen, besonders Finanz-, Lohn- sowie Sozialschutzpolitik und schrittweise stärkere Gleichberechtigung verwicklichen."
Advanced,Avanzado,Avançado,Avancé,高级水平,Zaawansowany,Fortgeschritten
Aerospace Engineering,Ingeniería aeroespacial,Engenharia aeroespacial,Ingénierie aérospatiale,航空航天工程,Inżynieria lotnicza,Luft- und Raumfahrttechnik
Afghanistan,Afganistán,Afeganistão,Afghanistan,阿富汗,Afganistan,Afghanistan
Ageing Population,Envejecimiento de población,Envelhecimento da população,Vieillissement démographique,人口老龄化,Starzejące się społeczeństwo,Alternde Bevölkerung
Agile development,Desarrollo ágil,Desenvolvimento ágil,Méthode agile,敏捷开发,Sprawny rozwój,Agile Entwicklung
Agriculture,Agricultura,Agricultura,Agriculture,农业学,Rolnictwo ,Landwirtschaft
AIESEC Global Exchange Partners are top premium partners that cooperate with the AIESEC International office and countries globally. Each partner opens around 10-70 opportunities yearly in global headquarters or regional/country offices.,Los aliados globales de intercambio de AIESEC son socios premium que cooperaran con la oficina de AIESEC Internacional y países mundialmente. Cada socio se abre alrededor de 10-70 oportunidades anualmente en la sede central u oficinas regionales o nacionales.,"Os parceiros globais de estágios da AIESEC são parceiros de excelência que cooperam com o escritório internacional da AIESEC e com os vários países. Cada parceiro abre cerca de 10 a 70 oportunidades por ano, quer na sede internacional quer nos escritórios regionais/nacionais.",AIESEC Global Exchange Partners sont des partenaires de premier plan qui collaborent avec le bureau international d'AIESEC et les pays du monde entier. Chaque partenaire ouvre environ 10 à 70 offres par an dans son siège ou aux bureaux régionaux / nationaux.,AIESEC的海外实习项目来自全球各国的顶尖合作伙伴。每年各个合作方都会提供10-70个 总部或地方办公室的实习机会。,AIESEC Global Exchange Partners (Globalni Partnerzy Wymianowi) są najważniejszymi partnerami współpracującymi z AIESEC globalnie. Każdy partner otwiera 10-70 ofert rocznie w globalnych lub regionalnych/krajowych biurach. ,"AIESEC Global Exchange Partners sind Top-Premium-Partner, die weltweit mit dem internationalen AIESEC-Office und Länder kooperieren. Jede Partner bietet jährlich ca. 10-70 Stellen in den globalen Haupsitzen oder regionalen Büros an."
AIESEC has allowed me to value myself based on my strengths and not based on my weaknesses.,AIESEC me a permitido valorarme a mi mismo basado en mis fortalezas y no mis debilidades.,A AIESEC permitiu-me valorizar com base nos meus pontos fortes e não com base nas minhas fraquezas.,L'AIESEC m'a permis de me valoriser en fonction de mes points forts et non de mes faiblesses.,我的AIESCE经历使我能够以长处来衡量我的个人价值,"AIESEC pozwolił mi docenić swoją wartość w oparciu o moje mocne strony, zamiast tych słabych.","AIESEC hat mir erlaubt, mich selbst auf Grund meiner Stärke zu schätzen und nicht meiner Schwäche."
AIESEC has awakened in me an inner drive towards developing others the best I can.,AIESEC a despertado en mi un deseo interno haci el desarrollo de otros lo mejor que pueda.,A AIESEC despertou em mim um impulso interior para desenvolver os outros o melhor que posso.,L'AIESEC a réveillé en moi un effort intérieur pour développer les autres du mieux que je peux.,AIESEC唤醒了我内心想要帮助他人自我发展的想法。,AIESEC obudził we mnie wewnętrzną motywację do rozwijania innych najlepiej jak tylko potrafię.,"AIESEC hat meinen inneren Antrieb so geweckt, dass ich die andere entwickeln will, so gut ich kann."
AIESEC has brought to the surface my desire to improve the current state of the world.,AIESEC a traido a la superficie mi deseo de mejorar el estado actual del mundo.,A AIESEC trouxe à tona o meu desejo de melhorar o estado atual do mundo.,L'AIESEC a mis en lumière mon désir d'améliorer l'état actuel du monde.,AIESEC唤起了我改善世界当前状态的愿望,AIESEC wydobył ze mnie pragnienie ulepszenia aktualnego stanu świata.,"AIESEC hat mir mein Verlangen bekannt gemacht, das ich den aktuellen Status der Welt verbessern will."
AIESEC has enabled me to become more persuasive in my communication with others.,AIESEC me a permitido convertirme en mas persuasivo al comunicarme con otros,A AIESEC me permitiu tornar mais persuasivo na minha comunicação com os outros.,L'AIESEC m'a permis de devenir plus persuasif dans ma communication avec les autres.,因为AIESEC，我变得更有说服力。,AIESEC pozwolił mi stać się bardziej wpływowym/ą w mojej komunikacji z innymi. ,"AIESEC hat mir ermöglicht, dass ich überzeugender werde, wenn ich mit anderen kommuniziere. "
"AIESEC has enabled me to envision my future in the light of my passions, and not based on what I/’m “supposed” to be and do.","AIESEC me a permitido visualizar mi futuro a la luz de mis pasiones, y no basado en lo que se supone deberia ser y hacer","A AIESEC me permitiu imaginar meu futuro à luz de minhas paixões, e não baseado no que eu ""deveria"" ser e fazer.","L'AIESEC m'a permis d'envisager mon avenir à la lumière de mes passions, et non pas sur ce que je suis censé être et faire.",因为AIESEC，我对未来的规划不再是“我该做什么”，而是“我想做什么”。,"AIESEC pozwolił mi na patrzenie na moją przyszłość przez pryzmat moich pasji, nie zaś tego, czego oczekuje od nas otoczenie.","AIESEC hat mir ermöglicht, dass ich mir meine Zukunft unter Berücksichtigung meiner Leidenschaften vorstelle und nicht anhand von was ich werden und machen ""sollte""."
AIESEC has given me the chance to practice things I/’m passionate about.,AIESEC me a dado la oportunidad de practicar cosas sobre las que siento pasión.,A AIESEC deu-me a oportunidade de praticar coisas pelo qual sou apixonado.,L'AIESEC m'a donné l'occasion de pratiquer des choses qui me passionnent.,因为AIESEC，我有机会做自己喜欢的事。,"AIESEC dał mi szansę ćwiczenia rzeczy, które mnie pasjonują. ","AIESEC hat mir die Chance gegeben, die Dinge, die ich leidenschaftlich gern tun, zu üben."
